Year,Gender,Age,Value
4,2012,,,19.6
5,2013,,,13.3
6,2014,,,17
7,2015,,,16.1
8,2016,,,20.9
9,2017,,,22.3
10,2018,,,23.8
11,2019,,,22.8
17,2012,Home,,21.2
18,2013,Home,,14
19,2014,Home,,17.1
20,2015,Home,,17.3
21,2016,Home,,21.8
22,2017,Home,,21.6
23,2018,Home,,22.3
24,2019,Home,,21.7
30,2012,Dona,,19.1
31,2013,Dona,,13.7
32,2014,Dona,,17.4
33,2015,Dona,,15.3
34,2016,Dona,,19.2
35,2017,Dona,,22.3
36,2018,Dona,,24.9
37,2019,Dona,,23.7
43,2012,,<16,21.3
44,2013,,<16,16.4
45,2014,,<16,19.7
46,2015,,<16,22.7
47,2016,,<16,29.9
48,2017,,<16,31.6
49,2018,,<16,30.5
50,2019,,<16,29.5
