Year,Gender,GeoCode,Value
1,2009,,,15837
2,2010,,,16415
3,2011,,,16966
4,2012,,,17399
5,2013,,,17928
6,2014,,,18356
7,2015,,,18701
8,2016,,,19011
9,2017,,,19124
10,2018,,,19177
11,2019,,,18992
12,2020,,,18641
13,2021,,,19291
14,2009,Home,,2843
15,2010,Home,,2902
16,2011,Home,,3009
17,2012,Home,,3055
18,2013,Home,,3181
19,2014,Home,,3229
20,2015,Home,,3317
21,2016,Home,,3462
22,2017,Home,,3581
23,2018,Home,,3620
24,2019,Home,,3600
25,2020,Home,,3514
26,2021,Home,,3640
27,2009,Dona,,12994
28,2010,Dona,,13513
29,2011,Dona,,13957
30,2012,Dona,,14344
31,2013,Dona,,14747
32,2014,Dona,,15127
33,2015,Dona,,15384
34,2016,Dona,,15549
35,2017,Dona,,15543
36,2018,Dona,,15557
37,2019,Dona,,15392
38,2020,Dona,,15127
39,2021,Dona,,15651
40,2009,,1,789
41,2010,,1,778
42,2011,,1,792
43,2012,,1,809
44,2013,,1,818
45,2014,,1,819
46,2015,,1,809
47,2016,,1,817
48,2017,,1,795
49,2018,,1,780
50,2019,,1,752
51,2020,,1,726
52,2021,,1,718
53,2009,,2,1406
54,2010,,2,1431
55,2011,,2,1463
56,2012,,2,1470
57,2013,,2,1460
58,2014,,2,1495
59,2015,,2,1481
60,2016,,2,1474
61,2017,,2,1467
62,2018,,2,1436
63,2019,,2,1374
64,2020,,2,1338
65,2021,,2,1355
66,2009,,3,1529
67,2010,,3,1531
68,2011,,3,1560
69,2012,,3,1568
70,2013,,3,1600
71,2014,,3,1625
72,2015,,3,1640
73,2016,,3,1654
74,2017,,3,1636
75,2018,,3,1611
76,2019,,3,1591
77,2020,,3,1572
78,2021,,3,1594
79,2009,,4,494
80,2010,,4,542
81,2011,,4,581
82,2012,,4,587
83,2013,,4,587
84,2014,,4,602
85,2015,,4,622
86,2016,,4,647
87,2017,,4,668
88,2018,,4,680
89,2019,,4,663
90,2020,,4,666
91,2021,,4,698
92,2009,,5,1209
93,2010,,5,1262
94,2011,,5,1282
95,2012,,5,1316
96,2013,,5,1358
97,2014,,5,1377
98,2015,,5,1383
99,2016,,5,1352
100,2017,,5,1351
101,2018,,5,1341
102,2019,,5,1326
103,2020,,5,1323
104,2021,,5,1367
105,2009,,6,594
106,2010,,6,628
107,2011,,6,635
108,2012,,6,656
109,2013,,6,673
110,2014,,6,703
111,2015,,6,741
112,2016,,6,774
113,2017,,6,781
114,2018,,6,786
115,2019,,6,783
116,2020,,6,768
117,2021,,6,783
118,2009,,7,1175
119,2010,,7,1224
120,2011,,7,1277
121,2012,,7,1341
122,2013,,7,1434
123,2014,,7,1437
124,2015,,7,1473
125,2016,,7,1505
126,2017,,7,1528
127,2018,,7,1528
128,2019,,7,1486
129,2020,,7,1450
130,2021,,7,1504
131,2009,,8,855
132,2010,,8,898
133,2011,,8,984
134,2012,,8,1012
135,2013,,8,1065
136,2014,,8,1127
137,2015,,8,1152
138,2016,,8,1162
139,2017,,8,1168
140,2018,,8,1174
141,2019,,8,1157
142,2020,,8,1146
143,2021,,8,1197
144,2009,,9,944
145,2010,,9,1000
146,2011,,9,1033
147,2012,,9,1039
148,2013,,9,1088
149,2014,,9,1085
150,2015,,9,1117
151,2016,,9,1169
152,2017,,9,1173
153,2018,,9,1162
154,2019,,9,1212
155,2020,,9,1200
156,2021,,9,1239
157,2009,,10,1269
158,2010,,10,1335
159,2011,,10,1403
160,2012,,10,1447
161,2013,,10,1506
162,2014,,10,1551
163,2015,,10,1587
164,2016,,10,1611
165,2017,,10,1652
166,2018,,10,1677
167,2019,,10,1683
168,2020,,10,1640
169,2021,,10,1753
170,2009,,11,1315
171,2010,,11,1341
172,2011,,11,1374
173,2012,,11,1404
174,2013,,11,1423
175,2014,,11,1433
176,2015,,11,1467
177,2016,,11,1497
178,2017,,11,1500
179,2018,,11,1509
180,2019,,11,1472
181,2020,,11,1428
182,2021,,11,1461
183,2009,,12,1065
184,2010,,12,1113
185,2011,,12,1117
186,2012,,12,1155
187,2013,,12,1198
188,2014,,12,1237
189,2015,,12,1258
190,2016,,12,1264
191,2017,,12,1260
192,2018,,12,1275
193,2019,,12,1291
194,2020,,12,1281
195,2021,,12,1344
196,2009,,13,607
197,2010,,13,669
198,2011,,13,677
199,2012,,13,714
200,2013,,13,761
201,2014,,13,801
202,2015,,13,839
203,2016,,13,857
204,2017,,13,867
205,2018,,13,895
206,2019,,13,857
207,2020,,13,857
208,2021,,13,916
209,2009,,14,518
210,2010,,14,557
211,2011,,14,572
212,2012,,14,589
213,2013,,14,591
214,2014,,14,607
215,2015,,14,616
216,2016,,14,637
217,2017,,14,663
218,2018,,14,660
219,2019,,14,675
220,2020,,14,649
221,2021,,14,663
222,2009,,15,746
223,2010,,15,764
224,2011,,15,828
225,2012,,15,850
226,2013,,15,894
227,2014,,15,937
228,2015,,15,969
229,2016,,15,1007
230,2017,,15,1014
231,2018,,15,1061
232,2019,,15,1039
233,2020,,15,1009
234,2021,,15,1067
235,2009,,16,637
236,2010,,16,649
237,2011,,16,686
238,2012,,16,718
239,2013,,16,730
240,2014,,16,763
241,2015,,16,795
242,2016,,16,822
243,2017,,16,840
244,2018,,16,851
245,2019,,16,844
246,2020,,16,820
247,2021,,16,844
248,2009,,17,133
249,2010,,17,132
250,2011,,17,129
251,2012,,17,130
252,2013,,17,137
253,2014,,17,142
254,2015,,17,145
255,2016,,17,139
256,2017,,17,137
257,2018,,17,142
258,2019,,17,150
259,2020,,17,144
260,2021,,17,141
261,2009,,18,203
262,2010,,18,203
263,2011,,18,203
264,2012,,18,210
265,2013,,18,209
266,2014,,18,217
267,2015,,18,220
268,2016,,18,227
269,2017,,18,225
270,2018,,18,229
271,2019,,18,240
