Year,GeoCode,Value
7,2015,,3.5
8,2016,,3.2
9,2017,,3.3
10,2018,,3.2
20,2015,1,3.9
21,2016,1,4
22,2017,1,3.8
23,2018,1,3.6
33,2015,2,3.4
34,2016,2,3.6
35,2017,2,3.4
36,2018,2,3.1
46,2015,3,3.6
47,2016,3,3.4
48,2017,3,3.4
49,2018,3,3.3
59,2015,4,3.3
60,2016,4,3.4
61,2017,4,3.2
62,2018,4,3.1
72,2015,5,3.3
73,2016,5,3.3
74,2017,5,3.1
75,2018,5,3.3
85,2015,6,3.4
86,2016,6,3.2
87,2017,6,3.3
88,2018,6,3.1
98,2015,7,3.1
99,2016,7,3.2
100,2017,7,3
101,2018,7,3.1
111,2015,8,3
112,2016,8,2.8
113,2017,8,2.8
114,2018,8,2.7
124,2015,9,2.9
125,2016,9,3
126,2017,9,3
127,2018,9,2.9
137,2015,10,3.4
138,2016,10,3.4
139,2017,10,3.2
140,2018,10,3
150,2015,11,3.6
151,2016,11,3.2
152,2017,11,3.3
153,2018,11,3.2
163,2015,12,3.5
164,2016,12,3.3
165,2017,12,3.3
166,2018,12,3.2
176,2015,13,3.2
177,2016,13,3.2
178,2017,13,3.1
179,2018,13,3.2
189,2015,14,3.3
190,2016,14,3.3
191,2017,14,3.2
192,2018,14,3.1
202,2015,15,3.6
203,2016,15,3.3
204,2017,15,3
205,2018,15,3.2
215,2015,16,3.1
216,2016,16,2.9
217,2017,16,2.9
218,2018,16,2.8
228,2015,17,3
229,2016,17,3.1
230,2017,17,2.9
231,2018,17,2.7
241,2015,18,3.2
242,2016,18,3
243,2017,18,2.7
244,2018,18,2.8
254,2015,19,2.8
255,2016,19,2.9
256,2017,19,2.7
257,2018,19,2.7
267,2015,,4
268,2016,,3.8
269,2017,,3.8
270,2018,,3.1
280,2015,,4.3
281,2016,,3.6
282,2017,,3.7
283,2018,,3.7
293,2015,,3.2
294,2016,,3.3
295,2017,,3.1
296,2018,,3
306,2015,,3.9
307,2016,,4.1
308,2017,,3.5
309,2018,,3.8
319,2015,,4.4
320,2016,,3.8
321,2017,,3.8
322,2018,,3.8
332,2015,,4.2
