Year,Distrito,GeoCode,Value
2015,CIUTAT VELLA,1,14.4
2015,L'EIXAMPLE,2,8.9
2015,EXTRAMURS,3,10.3
2015,CAMPANAR,4,10.6
2015,LA SAIDIA,5,14.2
2015,EL PLA DEL REAL,6,7.7
2015,L'OLIVERETA,7,15.7
2015,PATRAIX,8,10.4
2015,JESUS,9,12.4
2015,QUATRE CARRERES,10,15.2
2015,POBLATS MARITIMS,11,18.2
2015,CAMINS AL GRAU,12,13.3
2015,ALGIROS,13,10.7
2015,BENIMACLET,14,11.7
2015,RASCANYA,15,16.7
2015,BENICALAP,16,15
2015,POBLATS DEL NORD,17,9.7
2015,POBLATS DE L'OEST,18,18
2015,POBLATS DEL SUD,19,13.4
