Year,Sexo,Edad,Distrito,Value
2009,,,,61152
2010,,,,70063
2011,,,,74037
2012,,,,81151
2013,,,,81773
2014,,,,76491
2015,,,,69572
2016,,,,64791
2017,,,,60300
2018,,,,55867
2019,,,,53321
2020,,,,62663
2009,Home,,,31210
2010,Home,,,35476
2011,Home,,,36962
2012,Home,,,40059
2013,Home,,,39771
2014,Home,,,36111
2015,Home,,,31660
2016,Home,,,28479
2017,Home,,,25663
2018,Home,,,23123
2019,Home,,,21787
2020,Home,,,26495
2009,Dona,,,29942
2010,Dona,,,34588
2011,Dona,,,37074
2012,Dona,,,41092
2013,Dona,,,42001
2014,Dona,,,40380
2015,Dona,,,37912
2016,Dona,,,36312
2017,Dona,,,34638
2018,Dona,,,32744
2019,Dona,,,31534
2020,Dona,,,36168
2013,,16 a 24,,5588
2014,,16 a 24,,4922
2015,,16 a 24,,3842
2016,,16 a 24,,3851
2017,,16 a 24,,3931
2018,,16 a 24,,3819
2019,,16 a 24,,3778
2020,,16 a 24,,5259
2013,,25 a 29,,7544
2014,,25 a 29,,6382
2015,,25 a 29,,5444
2016,,25 a 29,,4925
2017,,25 a 29,,4501
2018,,25 a 29,,4359
2019,,25 a 29,,4285
2020,,25 a 29,,5949
2013,,30 a 54,,54380
2014,,30 a 54,,50371
2015,,30 a 54,,45319
2016,,30 a 54,,40982
2017,,30 a 54,,36871
2018,,30 a 54,,32927
2019,,30 a 54,,30381
2020,,30 a 54,,35173
2013,,>=55,,14262
2014,,>=55,,14816
2015,,>=55,,14968
2016,,>=55,,15033
2017,,>=55,,14999
2018,,>=55,,14761
2019,,>=55,,14879
2020,,>=55,,16282
2009,,,1,1876
2010,,,1,2197
2011,,,1,2344
2012,,,1,2619
2013,,,1,2643
2014,,,1,2472
2015,,,1,2336
2016,,,1,2117
2017,,,1,1959
2018,,,1,1827
2019,,,1,1256
2020,,,1,1577
2009,,,2,3107
2010,,,2,3569
2011,,,2,3733
2012,,,2,4101
2013,,,2,4129
2014,,,2,3850
2015,,,2,3613
2016,,,2,3422
2017,,,2,3224
2018,,,2,2948
2019,,,2,1902
2020,,,2,2326
2009,,,3,3381
2010,,,3,3923
2011,,,3,4149
2012,,,3,4651
2013,,,3,4671
2014,,,3,4381
2015,,,3,4045
2016,,,3,3661
2017,,,3,3405
2018,,,3,3147
2019,,,3,2667
2020,,,3,3136
2009,,,4,2646
2010,,,4,3068
2011,,,4,3313
2012,,,4,3677
2013,,,4,3710
2014,,,4,3493
2015,,,4,3127
2016,,,4,2869
2017,,,4,2659
2018,,,4,2452
2019,,,4,1984
2020,,,4,2377
